Descripción*;Grupo terapéutico
GLOGAMA ANTIHEPATITIS B ;J06BB
GLOGAMA ANTIPAROTIDITIS ;J06BB
GLOGAMA ANTIPERTUSIS ;J06BB
GLOGAMA ANTIRUBEOLA;J06BB
GLOGAMA ANTITETANICA ;J06BB
GLOINAR ;J06BA
GLOTONE ;A15AA
GLUBEL CROMO ;D08AX
GLUBEOL ;R01AB
GLUBRAVA;A10BD
GLUCAGEN ;H04AA
GLUCAGON ;H04AA
GLUCAGON NOVO ;H04AA
GLUCANTIME ;P01CB
GLUCOBAY;A10BF
GLUCODULCO ;A13AA
GLUCOLON ;A10BB
GLUCOMED ;M01AX
GLUCONATO CALCICO ;A12AA
GLUCOPHAGE;A10BA
GLUCOPLURISALINA ;B05BB
GLUCOPOLIELECTROLITICA;B05BB
GLUCOPOTASICA BRAUN ;B05BB
GLUCOPOTASICA MEIN ;B05XA
GLUCOPOTASICO BIEFFE ;B05BB
GLUCOPOTASICO BRAUN ;B05XA
GLUCOSA BAXTER;B05BA
GLUCOSA BIEFFE ;B05BA
GLUCOSA BIOMENDI ;B05BA
GLUCOSA BRAUN ;B05BA
GLUCOSA CLK BAXTER ;B05BB
GLUCOSA CLNA BAXTER ;B05BB
GLUCOSA CLNA CLK BIOMENDI ;B05XA
GLUCOSA IFE ;B05BA
GLUCOSA TECSOLPAR;B05BA
GLUCOSADA FRESENIUS KABI ;B05BA
GLUCOSADO SALINO FRESENIUS KABI ;B05BB
GLUCOSADO VITRO BIEFFE ;B05BA
GLUCOSADO VITULIA ;B05BA
GLUCOSALINA BRAUN ;B05BB
GLUCOSALINA MODIFIC MEIN ;B05XA
GLUCOSALINO VITULIA;B05BB
GLUCOSAMINA ;M01AX
GLUCOSMON ;V06DC
GLUFAN ;M01AX
GLUMAL ;A02B
GLUMIDA ;A10BF
GLUNIRO ;M01AX
GLURENOR ;A10BB
GLUSCAN ;V09IX
GLUSTIN ;A10BG
GLUTAFERRO CAPS;B03AE
GLUTAFERRO GOTAS;B03AA
GLUTANEURINA B6 FORTE ;A11DA
GLUTASEY ;C10AA
GLYPRESSIN ;H01BA
GOBANAL ;N05BA
GOBEMICINA ;J01CA
GOBEMICINA RETARD ;J01CA
GOBENS TRIM ;J01EE
GODABION B6;A11HA
GODAFILIN ;R03DA
GODAFILIN DEXAMET ;R03DB
GOIPIC ;D04AX
GONAL F ;G03GA
GONAPEPTYL DEPOT ;L02AE
GOPTEN ;C09AA
GOTA CEBRINA;A11BA
GOXIL ;J01FA
GRACIAL;G03AB
GRADIN DEL D ANDREU ;R02AA
GRADONA ;N02BB
GRAIL ;C05CX
GRAMOCE A ;A11GB
GRANISETRON ;A04AA
GRANOCYTE ;L03AA
GRANULOKINE ;L03AA
GRANYTRIL ;A04AA
GRASMIN ;A08AA
GRATUSMINAL ;N03AA
GRAVIDEX ;G02AD
GRAZAX ;V01AA
GRAZURA ;V01AA
GREOSIN ;D01BA
GREPAX ;J01MA
GREPID ;B01AC
GRIETALGEN ;D03AX
GRIETALGEN HIDROCORTISONA ;D07CA
GRINAL ANTIBIOTICO ;D06CA
GRIP ACTION;M01AE
GRIPAKIN ;R05X
GRIPAVAC ;J07BB
GRIPAVAC PEDI ;J07BB
GRIPOFREN COMPLEX ;N02BE
GRIPPAL ;R05X
GRISETIN ;L02BB
GRORM ;H01AC
GROVIXIM ;A13AA
GUASTIL ;N05AL
GUAXAN ;M01AX
GUAYACICLINA ;J01AA
GURONSAN ;A11JC
GUTALAX ;A06AB
GUTRON ;C01CA
GYNEPLEN ;G03HB
GYNERGENO ;N02CA
GYNO PEVARYL;G01AF
GYNOVIN ;G03AA
H TUSSAN ;R05DB
HACHEMINA FUERTE ;A11HA
HADENSA POMADA;C05AX
HADENSA SUPOSITORIOS;C05AX
HAEMATE P ;B02BD
HAES ESTERIL;B05AA
HALAVEN ;L01XX
HALCION ;N05CD
HALFAN ;P01BX
HALIBORANGE JARABE;A11JC
HALIBUT;D02AB
HALIBUT HIDROCORTISONA ;D07XA
HALITOL MUCOLITICO ;R05CZ
HALOG ;D07AD
HALOGEDOL;M02AC
HALOPERIDOL ;N05AD
HALOTHAN;N01AB
HANSATERM ;M02AB
HARMINA ;N06DA
HARMONET ;G03AA
HARPAGOMED ;M09AX
HARTMANN ;B05BB
HAVELOX ;J01MA
HAVRIX ;J07BC
HB VAX ANTIHEPATITIS;J07BC
HBVAXPRO;J07BC
HCG LEPORI ;G03GA
HECTONONA ;A02AH
HEIPRAM ;N06AB
HELICOBACTER TEST INFAI;V04CG
HELIXATE ;B02BD
HELMINE;A04AA
HELOL ;A02BX
HELVER SAL ;N02BA
HEMICRANEAL  COMPRIMIDOS;N02CA
HEMICRANEAL SUPOSITORIOS;N02CA
HEMO 141 ;B02BX
HEMO DERMINIOL ;C05AX
HEMOAL ;C05AD
HEMOAL FORTE ;C05AD
HEMOCALCIN ;M05BA
HEMOCAPROL ;B02AA
HEMOCE ;B05XA
"HEMODIAFILTRACION BAXTER ""D 8"" ";B05ZB
HEMODREN ;C05AA
HEMODREN COMPUESTO ;C05AA
HEMODREN SIMPLE;C05AD
HEMOFACTOR HT ;B02BD
HEMOFILTRACION E2 BAXTER ;B05ZB
HEMOFILTRACION E3 BIEFFE ;B05ZB
HEMOFILTRACION E4 BAXTER;B05ZB
HEMOFILTRACION E5 BIEFFE ;B05ZB
HEMOFILTRACION HF 23 ;B05ZB
HEMOHES ;B05AA
HEMONET;C05AD
HEMORRANE ;C05AA
HEMOSOL B0 ;B05ZB
HEMOSTATICO ANTISEP ;B02BC
HEMOVAS ;C04AD
HEPA FACTOR ;B03BB
HEPACITOL ;A05BA
HEPACOBAN B12 ;A11EA
HEPACOMPLET B12 1000 ;B03BA
HEPACOMPLET B12 TRIPLE SOLUCION ;A11EX
HEPADIF 20 ;A16AX
HEPADIF 40 ;A05BA
HEPADIF SOLUCION ;A16AX
HEPADIGEST ;A05BA
HEPADREN 2500 UI ANTI XA ;B01AB
HEPARINA ;B01AB
HEPATECT ;J06BB
HEPATO FARDI ;A05BA
HEPATOFUSIN ;B05BA
HEPATOFUSIN DOBLE ;B05BA
HEPRO ;C05AA
HEPRONE ;A02BX
HEPSERA ;J05AF
HEPUMAN ;J06BB
HERCEPTIN ;L01XC
HERPALGIN ;D06BB
HERPIAL;D06BB
HERTEN ;C09AA
HERTEN PLUS ;C09BA
HES GRIFOLS ;B05AA
HESPAN;B05AA
HESPERCORBIN ;M01AX
HEXABRIX ;V08AB
HEXANICIT ;C04AX
HEXANICIT FORTE ;C04AX
HEXANIUM;G04BD
HEXANZYME;A13AA
HEXAVAC;J07CA
HEXINAWAS;L01XX
HEXOMEDIN ;D08AC
HEXOMEDIN TRANSCUTANEO ;D08AC
HEXTRIL ;A01AB
HEXVIX ;V04CX
HIBERIX ;J07AG
HIBIGRIPAL;R05X
HIBIMAX ;D08AC
HIBISCRUB ;D08AC
HIBITANE ;R02AA
HIBITANE FORTE ;R02AA
HIBOR ;B01AB
HIBTITER ;J07AG
HICARLEX ;C09AA
HIDRALMA ;A02AD
HIDRANIC POLIVITA SUSP ;A15AA
HIDRASOLCO ;J04AC
HIDRATHEA ;S01XA
HIDROALTESONA ;H02AB
HIDROCISDIN ;D07AA
HIDROCLOROTIAZIDA ;C03AA
HIDROCLORURO DE EFEDRINA ;C01CA
HIDROCORTISONA CREMA ;D07AA
HIDROFAN B6 ;J04AC
HIDROFEROL ;A11CC
HIDROFEROL CHOQUE ;A11CC
HIDROFUNDIN FISIOLOGICO ;B05BC
HIDROFUNDIN GLUCOSADO ;B05BC
HIDROPOLIVIT A MINERAL ;A11AA
HIDROPOLIVIT C ;A11BA
HIDROPOLIVIT COMPLEX ;A11BA
HIDROPOLIVIT GOTAS ;A11BA
HIDROQUILAUDE ;D11AX
HIDROSALURETIL ;C03AA
HIDROVITAMINA B15 ;A11HA
HIDROXIETILALMI CLNA ;B05AA
HIDROXIL B12 B6 B1 3 ;A11DB
HIDROXOCOBALAMINA ;V03AB
HIERCO ;B03AB
HIERRO SACAROSA ;B03AC
HIGROTENSIN ;C07CB
HIGROTONA ;C03BA
HIGROTONA RESERPINA;C02LA
HIPERICO AQUILEA ;N06BX
HIPERICO NATYSAL ;N06BX
HIPERLEX ;C09AA
HIPERLEX PLUS ;C09BA
HIPERTENE;C09AA
HIPOARTEL ;C09AA
HIPOARTEL PLUS ;C09BA
HIROBRIZ BREEZHALER ;R03AC
HIRUDOID;C05BA
HIRUDOID FORTE ;C05BA
HISMANAL ;R06AX
HISPAMICINA RETARD ;J01CA
HISTAFILIN ELIXIR ;R03DA
HISTAMINOS ;R06AX
HISTAVERIN ;R05DA
HISTOP ;C10AA
HITRIN ;G04CA
HIZENTRA ;J06BA
HMG LEPORI ;G03GA
HMG ORGANON ;G03GA
HODERNAL ;A06AA
HOLOFUSINA CON GLU LEVU ;B05XA
HOMOCODEINA;R05DA
HONGOSAN ;D07XB
HONGOSERIL ;J02AC
HORTEMOX ;J01CA
HORTEPULMO VT ;J01AA
HORTETRACIN ;J01AA
HORTFENICOL ;J01BA
HOSBOGEN ;J01GB
HOSBORAL ;J01CA
HOSBORAL BRONQUIAL ;R05CZ
HOSPASOL ;B05ZB
HUBERCILINA ;J01CA
HUBERDILAT ;C04AX
HUBERDOXINA ;J01MA
HUBERGRIP ORAL ;R05X
HUBERGRIP SUPOSITORIOS;N02BE
HUBERMIZOL ;R06AX
HUBERPLEX ;N05BA
HUMAGEL ;A07AX
HUMALOG ;A10AB
HUMALOG BASAL KWIKPEN ;A10AC
HUMALOG HUMAJECT ;A10AB
HUMALOG KWIKPEN ;A10AB
HUMALOG MIX KWIKPEN ;A10AD
HUMALOG MIX PEN ;A10AD
HUMALOG NPL PEN ;A10AC
HUMALOG PEN ;A10AB
HUMAPLUS ;A10AD
HUMAPLUS NPH ;A10AC
HUMAPLUS REGULAR;A10AB
HUMATIN ;A07AA
HUMATROPE ;H01AC
HUMEX ;R05DA
HUMIRA ;L04AA
HUMIRA PEDIATRICO ;L04AB
HUMOXAL ;R01AA
HUMULINA ;A10AD
HUMULINA LENTA ;A10AC
HUMULINA NPH;A10AC
HUMULINA REGULAR ;A10AB
HUMULINA ULTRALENTA ;A10AE
HURRICAINE;A01AD
HYALART ;M09AX
HYALGAN ;M09AX
HYCAMTIN ;L01XX
HYDERGINA ;C04AE
HYDRAPRES ;C02DB
HYDREA;L01XX
HYNEURIN ;N06AX
HYPERICUM ORTO;N06AX
HYPERLITE ;B05BB
HYPERSTAT ;C02DA
HYPNOMIDATE;N01AX
HYPO TEARS ;S01XA
IBENON ;M01AE
IBERCAL;A12AA
IBERCAL D ;A12AX
IBEROGAST ;A03AX
IBIS ;R06AX
IBSESAL GRANULADO ;A05AB
IBUCASEN ;M01AE
IBUFARMALID;M01AE
IBUFEN;M01AE
IBUFEN TOPICO ;M02AA
IBUKEY ;M02AA
IBUMAC ;M01AE
IBUPROFENO ;M01AE
IBUPROFENO (ARGININA) ;M01AE
IBUPROFENO TOPICO ;M02AA
IBUPROX ;M01AE
IBUPROX TOPICO ;M02AA
IBUSCENT ;M01AE
IBUSTICK ;M02AA
IBYSERUM GLUCOSA ;B05BA
ICANDRA ;A10BD
ICESPRAY ;D04AX
ICODIAL ;B05DA
ICTAN ;D01AC
ICTIOMEN ;D04AX
IDALPREM ;N05BA
IDAPTAN ;C01EB
IDARAC ;N02BG
IDASAL ;R01AA
IDASAL ANTIBIOTICO;R01AB
IDEOS ;A12AX
IDEOS UNIDIA ;A12AX
IDO A ;A11CA
IDULANEX;R01BA
IECATEC ;C09AA
IECATEC FLAS;C09AA
IFIRMASTA ;C09CA
IGAMAD;J06BB
IGAMPLIA ;J06BA
IGANTIBE ;J06BB
IGRIL ;N02CA
ILACEN ;N02BA
ILAGANE ;M02AA
ILARIS ;L04AC
ILDAMEN ;C01DX
ILDOR ;R03BC
ILOCIT;B01AC
ILOMEDIN ;B01AC
ILOTICINA ;D10AF
ILOTICINA ANTI ACNE;D10AF
ILUFREN ;N05AH
ILVICO ;R05X
IMAGOPAQUE ;V08AB
IMDUR DURULES;C01DA
IMIDAPRIL BIAL ;C09AA
IMIGRAN ;N02CC
IMIGRAN NEO;N02CC
IMINASE;B01AD
IMIPENEM/CILASTATINA ;J01DH
IMMUCYST BCG INMUNOTERAP ;L03AX
IMMUNINE;B02BD
IMMUNINE STIM PLUS ;B02BD
IMODIUM ;A07DA
IMODIUM DUO ;A07DA
IMODIUM FLAS ;A07DA
IMODIUM PLUS ;A07DA
IMOGAM RABIA ;J06BB
IMOGAM TETANOS ;J06BB
IMONOGAS;A03AX
IMOSEC ;A07DA
IMOVAX ANTIPAROTIDITIS ;J07BE
IMOVAX DPT ;J07AM
IMOVAX DPT POLIO ;J07CA
IMPLANON NXT ;G03AC
IMPREMIAL ;M01AX
IMPRIDA ;C09DB
IMPRONTAL;M01AC
IMPRONTAL CREMA ;M02AA
IMUKIN ;L03AB
IMUREL ;L04AX
IMUVAC ;J07BB
INACID ;M01AB
INACID DAP ;C01EB
INACID RETARD ;M01AB
INACID TOPICO ;M02AA
INACILIN ;J01CA
INAGEN ;J04AK
INALACOR ;R03BA
INALACOR ACCUHALER ;R03BA
INALADUO ;R03AK
INALADUO ACCUHALER ;R03AK
INALINTRA ;R01AA
INASPIR ;R03AC
INASPIR ACCUHALER ;R03AC
INASPIR ROTADISKX;R03AC
INCEBRAL ;N06DX
INCEN ;A13AA
INCIVO ;J05AE
INCRELEX ;H01AC
INDAPAMIDA ;C03BA
INDAPAMIDA RETARD ;C03BA
INDIO (111IN) DTPA COVIDIEN ;V09AX
INDO FRAMAN ;M01AB
INDOCAF  SUPOSITORIOS;M01AB
INDOCAF ORAL ;M01AB
INDOFTOL ;S01BC
INDOLGINA;M01AB
INDOMETACINA;M01AB
INDONILO ;M01AB
INDOSOLONA;M01BA
INDUCTOS ;M05BC
INDURGAN ;A02BC
INDUSIL ;B03BA
INEGY;C10BA
INEXBRON;J01CA
INEXBRON MUCOLITICO ;R07AX
INEXFAL ;A05BA
INFALINA ;D06CA
INFANRIX;J07AJ
INFANRIX HEP B ;J07CA
INFANRIX HEXA ;J07CA
INFANRIX HIB ;J07AG
INFANRIX IPV+HIB ;J07CA
INFLEXAL ;J07BB
INFLEXAL V ;J07BB
INFLORAN ;A07FA
INFLUVAC ;J07BB
INGASTRI ;A02BA
INGLOBIN ;J06BA
INHAL ASMA FUERTE NEBULIZADOR;R03AK
INHALADOR FOURNIER ;R01AX
INHALVICKS BARRA NASAL;R01AX
INHIBACE ;C09AA
INHIBACE PLUS ;C09BA
INIBSACAIN ;N01BB
INIBSACAIN HIPERBARICA ;N01BB
INIBSACAIN SIN VASOCONSTRICTOR ;N01BB
INISTOLIN PEDIATRICO ANTITUSIVO ;R05DA
INISTOLIN PEDIATRICO EXPECTORANTE ;R05CA
INISTON ANTITUSIVO ;R05DA
INISTON ANTITUSIVO Y DESCONGESTIVO ;R05DA
INISTON DESCONGESTIVO ;R01BA
INISTON EXPECTORANTE ;R05CA
INISTON EXPECTORANTE Y DESCONGESTIVO ;R05CA
INISTON MUCOLITICO ;R05CB
INISTON MUCUS ;R05CB
INKAMIL ;J01MA
INMUNO FRAMAN ANTITETAN ;J06BB
INMUNOFERON ;L03AX
INMUNOGAMMA ANTI D ;J06BB
INMUNOGAMMA ANTITET LETI;J06BB
INMUNOGAMMA LETI;J06BA
INMUNOGAMMA PERTUSIS LET ;J06BB
INMUNOGLOB ANTI D LEO ;J06BB
INMUNOGLOB HUMANA ANTI D ;J06BB
INMUPEN ;J01CR
INNOHEP ;B01AB
INOCAR ;C09AA
INOCAR PLUS ;C09BA
INOMAX ;R07AX
INOVELON ;N03AF
INREQ ;G04CA
INSPRA ;C03DA
INSTANA ;J01DD
INSTANA PEDIATRICO ;J01DD
INSTANYL ;N02AB
INSTILIN ADULTOS NEBULIZADOR;R01AB
INSULATARD ;A10AC
INSULATARD FLEXPEN ;A10AC
INSULATARD HUMANA ;A10AC
INSULATARD INNOLET ;A10AC
INSULATARD NOVOLET ;A10AC
INSULATARD NPH ;A10AC
INSULATARD NPH FLEXPEN ;A10AC
INSULATARD NPH INNOLET ;A10AC
INSULATARD NPH NOVOLET;A10AC
INSULATARD NPH PENFILL ;A10AC
INSULINA ACTRAFAN HM ;A10AD
INSULINA ACTRAPID PORC ;A10AB
INSULINA BERNA NPH ;A10AC
INSULINA INSULATARD HM ;A10AC
INSULINA INSULATARD NPH ;A10AC
INSULINA MEZTARDIA PORC ;A10AD
INSULINA MIXTARD HUMANA ;A10AD
INSULINA MIXTARD PORCINA ;A10AD
INSULINA MONOTARD PORCIN ;A10AE
INSULINA NOVO ACTRAPI HM;A10AE
INSULINA NOVO MONOTAR HM ;A10AE
INSULINA PROTAFAN HM ;A10AC
INSULINA RAPITARD;A10AE
INSULINA ULTRALENTE;A10AE
INSULINA ULTRATARD HM ;A10AB
INSULINA VELOSULIN INFUS ;A10AB
INSULINA VELOSULIN PORC ;A10AB
INSUMAN BASAL ;A10AB
INSUMAN COMB ;A10AD
INSUMAN INFUSAT ;A10AB
INSUMAN RAPID ;A10AB
INSUP ;C09AA
INSUVEN ;C05CA
INTAL ;R03BC
INTANZA ;J07BB
INTEGRILIN ;B01AC
INTELENCE ;J05AG
INTENSAIN ;C01DX
INTENSAIN RETARD ;C01DX
INTERCEFAL ;J01DA
INTERCYTON ;C05CA
INTERDERM ;D07CB
INTESTIFALK ;A07EA
INTESTIFALK RECTAL ;A07EA
INTESTIFALK UNO ;A07EA
INTETRICINE;A07AX
INTRADERMO CORT ANT FUNG;D07XC
INTRADERMO CORTICOSTEROI ;D07AC
INTRAFUSIN ;B05BA
INTRALIPID ;B05BA
INTRATECT ;J06BA
INTRAZOLINA ;J01DB
INTRINSA ;G03BA
INTRON A;L03AB
INTRONA ;L03AB
INVANZ;J01DH
INVEGA;N05AX
INVIGAN;A02BA
INVIGAN FORTE ;A02BA
INVIRASE ;J05AE
INYESPRIN ;N02BA
"INYESPRIN ""FORT"" ";N02BA
"INYESPRIN ""NORMAL""";N02BA
"INYESPRIN ""ORAL FORTE"" ";N02BA
"INYESPRIN ""ORAL"" ";N02BA
"INYESPRIN ""PEDI"" ";N02BA
INZITAN ;M01BX
IOBENGUANO (131I) CIS BIO INTERNATIONAL DIAGNOSTICO ;V09IX
IODAFILINA ;R03DA
IODEN GARGARISMOS ;A01AB
IODEN GERMICIDA ;D08AG
IODEN SCRUB ;D08AG
IODEN VAGINAL;G01AX
IODINA ;D08AG
IODOCAFEDRINA ;R03DB
IODOCASPEN ;D08AG
IODOHIPURATO (123I) GE;V09CX
IODOSORB ;D03AX
IODURO POTASICO ROVI ;H03CA
IOHEXOL G.E.S.;V08AB
IOMERON ;V08AB
IONIL CHAMPU ;D11AC
IONSYS ;N02AB
IOPAMIDOL BIOMENDI ;V08AB
IOPAMIDOL G.E.S. ;V08AB
IOPAMIGITA ;V08AB
IOPAMIRO ;V08AB
IOPIMAX ;S01EA
IPIRASA ;A02BC
IPRADOL ;R03CC
IPRADOL INH;R03AC
IPSODOL;N01BX
IRBESARTAN ;C09CA
IRBESARTAN/HIDROCLOROTIAZIDA ;C09DA
IRENOR ;N06AX
IRESSA;L01XE
IRICIL ;C09AA
IRICIL PLUS;C09BA
IRINOTECAN ;L01XX
IRKAN;L01XX
IRRIGACION CLNA BIEF ;B05CB
IRRIGACION CLNA BIOMENDI ;B05XA
IRRIGACION GLIC MANI BIE;B05CX
IRRIGACION GLIC MANI BIECLEAR FLEX ;B05CX
IRRIGACION GLICINA BIEF ;B05CX
IRRITOS ;R05DA
IRUXOL MONO ;D03BA
IRUXOL NEO ;D03BA
ISCOVER ;B01AC
ISDIBEN ;D10BA
ISDIBUDOL ;M02AA
ISDINEX ;D04AA
ISDINIUM ;D07AB
ISDINIUM RECTAL ;C05AA
ISDOL;M01AE
ISENTRESS ;J05AX
ISIS COMPRIMIDOS;D01BA
ISIS CREMA ;D01AE
ISKEDYL ;C04AE
ISO ESTEDI ;D10BA
ISO LACER ;C01DA
ISO LACER RETARD ;C01DA
ISOACNE ;D10BA
ISODIUR ;C03CA
ISODIUR HTA ;C03CA
ISODONNA ;G02CX
ISOETAM ;J04AM
ISOFLAVONAS DE SOJA ;G02CX
ISOFLURANO ;N01AB
ISOFUNDIN ;B05BB
ISOGAINE ;N01BB
ISOGLAUCON ;S01EA
ISOHES ;B05AA
ISOLYTE E DEXTROSA VACOLITER ;B05XA
ISOLYTE E DEXTROSA VIAFLEX ;B05BB
ISOLYTE G DEXTROSA VIAFLEX ;B05XA
ISOLYTE M DEXTROSA VIAFLEX ;B05BB
ISOLYTE P DEXTROSA VIAFLEX;B05BB
ISOLYTE VIAFLEX ;B05XA
ISONIAZIDA ;J04AC
ISONIAZIDA B6 ;J04AC
ISONITRIL ;C01DA
ISOPLASMAL G ;B05BA
ISOPTO B ;S01XA
ISOPTO CARPINA ;S01EB
ISOPTO EPINAL ;C01CA
ISOPTO FENICOL ;S01AA
ISOPTO FLUCON ;S01BA
ISOPULSAN ;N06AX
ISORDIL ;C01DA
ISOSARPAN ;C04AX
ISOTRETINOINA ;D10BA
ISOTREX ;D10AD
ISOTREX ERITROMICINA ;D10AD
ISOVORIN ;V03AF
ISOXYL ;J04AD
ISQUEBRAL ;C04AE
ITNOGEN ;G03BA
ITRACONAZOL ;J02AC
IVELIP ;B05BA
IVEMEND ;A04AD
IXIA ;C09CA
IXIA PLUS ;C09DA
IXIARO ;J07BA
JABON ANTISEPTICO ASENS ;D08AE
JABON DE AZUFRE FUERTE ;D11AC
JABON DE GLICERINA ;D02AC
JABON RESORCINA ;D04AX
JADELLE;G03AC
JALRA ;A10BH
JANOCILIN ;J01DA
JANOPEN;J01CA
JANUMET ;A10BD
JANUVIA ;A10BH
JARABE MANCEAU ;A06AB
JARABE MANZANAS ;A06AB
JARABE PUIG ;A06AB
JAVLOR ;L01CA
JENTADUETO ;A10BD
JEVTANA ;L01CD
JEXT ;C01CA
JORBAGAMMA ANTITETANICA ;J06BB
JOSAMINA ;J01FA
JOSAXIN ;J01FA
JUNCE ;A11GA
JUNIFEN ;M01AE
JUNIORMEN ;A13AA
JUNIPRO ;M01AE
JURNISTA ;N02AA
JUSTEBARIN ;V08BA
JUSTEGAS ;A02AH
JUSTELAX ;A06AB
KABIKINASE ;B01AD
KABIMIX CENTRAL ;B05BA
KABIVEN ;B05BA
KABIVEN PERIFERICO;B05BA
KAERGONA HIDROSOLUBLE ;B02BA
KALCIPOS D ;A12AX
KALETRA ;J05AE
KALINOX ;N01AX
KALMA ;M01AE
KALOBA;R05
KALPRESS;C09CA
KALPRESS CARDIO ;C09CA
KALPRESS PLUS ;C09DA
KALPRESS PLUS FORTE ;C09DA
KALSIMIN ;H05BA
KALSIMIN NASAL ;H05BA
KALTEN ;C07DB
KAMILLOSAN BUCAL SPRAY ;A01AD
KAMILLOSAN ORAL;A02DA
KAMILLOSAN SPRAY ;R02AA
KANACOLIRIO FTE ;S01AA
KANACOLIRIO NORMAL ;S01AA
KANAFOSAL NEBULIZADOR ;R01AB
KANAFOSAL PREDNI NEBULIZADOR ;R01AD
KANAMICINA OYKOL ;J01GB
KANAPOMADA POMADA ;D07CA
KANESCIN 1 G 1 VIAL 4 ML;J01GB
KANOVA ;A06AG
KANTREX;J01GB
KARBICOMBI ;C09DA
KARBIS;C09CA
KARIDINA;J01DB
KARILEXINA ;J01DB
KARVEA ;C09CA
KARVEZIDE ;C09DA
KATOVIT ;N06BX
KATRUM ;M02AB
KAYADOL;A01AA
KCL RETARD ;A12BA
KEFAMIN ;J01DD
KEFLIN ;J01DB
KEFLORIDINA ;J01DB
KEFLORIDINA FORTE ;J01DB
KEFLORIDINA MUCOLITICO ;J01DB
KEFOL ;J01DB
KELBIUM PEDIATRICO;J01DD
KELOSAL;A03FA
KELSOPEN ;J01CR
KEMADREN ;N04AA
KEMPI ;J01XX
KENALOG ORABASE ;A01AC
KENESIL ;C08CA
KEPIVANCE ;V03AF
KEPPRA ;N03AX
KERANIN ANTIVERRUGAS ;D11AF
KERATISDIN ;D02AX
KESTOMAL ;A02AF
KETASMA ;R06AX
KETEK ;J01FA
KETESGEL ;M02AA
KETESSE;M01AE
KETOARTRIL ;M01AE
KETOCONAZOL COMPRIMIDOS;J02AB
KETOCONAZOL GEL ;D01AC
KETOISDIN COMPRIMIDOS;J02AB
KETOISDIN SUSP;J02AB
KETOISDIN TOPICO ;D01AC
KETOISDIN VAGINAL;G01AF
KETOLAR ;N01AX
KETOPROFENO GEL ;M02AA
KETOPROFENO SUPOSITORIOS;M01AE
KETOPROSIL ;M01AE
KETOROLACO TROMETAMOL ;M01AB
KETOSOLAN ;M01AE
KETOTIFENO COLIRIO;S01GX
KH 3 POWEL ;A13AA
KILLPAN LINIMENTO;M02AB
KILOR ;B03AB
KINCICLINA;J01AA
KINERET;L04AA
KINET ;A03FA
KIOVIG ;J06BA
KIVEXA ;J05AR
KLACID ;J01FA
KLACID UNIDIA ;J01FA
KLANDRYN;B01AC
KLARIDERM ;D07AC
KLARIVITINA ;A15AA
KLEAN PREP ;A06AD
KLOBAMICINA ;J01GB
KLOSTERFRAU MELISANA ;N05CX
KNEIPP PILDORAS;A06AB
KOFRON ;J01FA
KOFRON UNIDIA;J01FA
KOGENATE ;B02BD
KOLOTANINO ;A07AX
KOMBOGLYZE ;A10BD
KONAKION ;B02BA
KONEX ;D07AC
KREDEX ;C07AG
KREON ;A09AA
KRESSE ;D11AX
KRYOBULIN IMMUNO TIM;B02BD
KURGAN;J01DA
KURGAN ;J01DB
KUSON ;D11AF
KUVAN ;A16AX
KYBERNIN P ;B01AB
KYTRIL ;A04AA
LABETALOL SALVAT ;C07AG
LABILENO ;N03AX
LABILYT ;G04BD
LABODREX ;C09BA
LABOPAL ;C09AA
LACERDERMOL;A11JA
LACERDERMOL COMPLEX ;A11EX
LACERMUCIN ;R05CA
LACEROL ;C08DB
LACEROL COR RETARD;C08DB
LACEROL HTA RETARD ;C08DB
LACEROL RETARD;C08DB
LACERTRAL ;A02BX
LACIDIPINO ;C08CA
LACIMEN ;C08CA
LACIPIL ;C08CA
LACONDAN;M01AE
LACOVIN ;D11AX
LACRILUBE ;S01XA
LACRYVISC ;S01XA
LACTATO SODICO ;B05XA
LACTEOL ;A07FA
LACTEST ;V04CX
LACTISMINE ;N04BC
LACTISONA ;D07AA
LACTOFERRINA ;B03AB
LACTOFILUS ;A07FA
LACTOLAXINE ;A06AX
LACTORED ;A09AA
LACTULOSA ;A06AD
LACTUM ;A07FA
LACTUMED ;A06AD
LADIVONSIM LIQUIDO;D11AF
LAFENA CAFEINA ;N02BA
LAFOR ;R05X
LAGARMICIN ;J01FA
LAINEMA;A06AG
LAITOS ;R05DA
LAKE ;A02BA
LAMBDALINA;N01BB
LAMBDAXEL ;D11AX
LAMICOSIL ;D01AE
LAMICOSIL UNI ;D01AE
LAMICTAL ;N03AX
LAMISIL ;D01BA
LAMISIL DERMGEL ;D01AE
LAMISIL TOPICO ;D01AE
LAMIVUDINA ;J05AF
LAMNOTYL ;D02AB
LAMOMYLAN ;N03AX
LAMOTRIGINA;N03AX
LAMPREN ;J04BA
LANACANE;D04AB
LANACORDIN PEDIATRICO;C01AA
LANIRAPID ;C01AA
LANSOPRAZOL ;A02BC
LANTANON;N06AX
LANTOGENT ;J01GB
LANTUS OPTISET ;A10AE
LANTUS SOLOSTAR;A10AE
LANZOL;A02BC
LAPICES EPIDERM METADIER ;D05AC
LAPIZ GRAS ;D02AC
LAPIZ TERMO COMPOSITUM ;M02AX
LARGACTIL ;N05AA
LARGATREX ;N05AA
LARGITOR ;C05CX
LARIDAL ;R06AX
LASA ANTIASMATICO ;R03D
